,split0_test_rmse,split1_test_rmse,split2_test_rmse,split3_test_rmse,split4_test_rmse,mean_test_rmse,std_test_rmse,rank_test_rmse,mean_fit_time,std_fit_time,mean_test_time,std_test_time,params,param_n_factors,param_n_epochs,param_lr_all,param_reg_all
16,0.9563409152885437,0.9489941730165181,0.9595340249509418,0.9590152103731023,0.9594787238370989,0.956672609493241,0.0040154243309318905,31,4.965660285949707,0.13040269279009564,0.16839232444763183,0.05525535691659014,"{'n_factors': 40, 'n_epochs': 40, 'lr_all': 0.005, 'reg_all': 0.02}",40,40,0.005,0.02
17,0.926809476203787,0.9278368902432589,0.9314827268666213,0.9281750556064733,0.9256979109578365,0.9280004119755952,0.0019444071438033126,17,4.726409816741944,0.1425097151811946,0.1586073875427246,0.04880458155146181,"{'n_factors': 40, 'n_epochs': 40, 'lr_all': 0.005, 'reg_all': 0.1}",40,40,0.005,0.1
18,1.0132027583941168,1.0057169339530547,1.0103138823618742,1.0187527477863119,1.0161848638717015,1.0128342372734118,0.004547515113618817,45,4.58308424949646,0.12293242751449665,0.1513430118560791,0.05687697864264546,"{'n_factors': 40, 'n_epochs': 40, 'lr_all': 0.01, 'reg_all': 0.02}",40,40,0.01,0.02
19,0.9174802542695575,0.9140275143821622,0.9206814458656463,0.9168332610306804,0.9164185622695881,0.9170882075635269,0.0021422571003632653,5,4.628425407409668,0.1284106442798586,0.14961686134338378,0.05383261162971338,"{'n_factors': 40, 'n_epochs': 40, 'lr_all': 0.01, 'reg_all': 0.1}",40,40,0.01,0.1
20,0.9910201826875871,0.9911448191952857,0.9923304573967265,0.9958438579250317,0.9924624293703599,0.9925603493149981,0.0017446894372244574,41,7.0365025997161865,0.14551428639118413,0.15621204376220704,0.05545660490730417,"{'n_factors': 40, 'n_epochs': 60, 'lr_all': 0.005, 'reg_all': 0.02}",40,60,0.005,0.02
21,0.9205065439713372,0.9182035476433619,0.9226593558295954,0.9197745758719297,0.918627420421491,0.9199542887475431,0.0015798952140456501,11,7.049033117294312,0.10051329874344962,0.1564648151397705,0.06125821447747809,"{'n_factors': 40, 'n_epochs': 60, 'lr_all': 0.005, 'reg_all': 0.1}",40,60,0.005,0.1
22,1.0336767733451016,1.0354937939546354,1.0356806871672743,1.0281436305934524,1.0359093872512248,1.0337808544623377,0.0029279106431475367,48,7.152419996261597,0.12256436727497387,0.15770244598388672,0.05265942158144928,"{'n_factors': 40, 'n_epochs': 60, 'lr_all': 0.01, 'reg_all': 0.02}",40,60,0.01,0.02
23,0.9168697596603251,0.9157596451590688,0.9213992929013475,0.9177292103134327,0.9184881103471958,0.918049203676274,0.0019053240682078158,7,7.15592041015625,0.12712100792643943,0.16090168952941894,0.05109430156580964,"{'n_factors': 40, 'n_epochs': 60, 'lr_all': 0.01, 'reg_all': 0.1}",40,60,0.01,0.1
24,0.9390638621207864,0.9381803965106679,0.9406379320312168,0.9429453234364119,0.9390996404534787,0.9399854309105123,0.001678021717975508,22,2.9748716354370117,0.0418562320709212,0.1607426643371582,0.05468347421593901,"{'n_factors': 60, 'n_epochs': 20, 'lr_all': 0.005, 'reg_all': 0.02}",60,20,0.005,0.02
25,0.9405129011872576,0.9407064772155884,0.944783545999918,0.9426774127374647,0.9397968928376885,0.9416954459955835,0.00181557681654002,25,2.965042781829834,0.037991232344583806,0.15764126777648926,0.05656200091058945,"{'n_factors': 60, 'n_epochs': 20, 'lr_all': 0.005, 'reg_all': 0.1}",60,20,0.005,0.1
26,0.9608670057929828,0.9646243101020191,0.9635979326398489,0.962973060389246,0.9567508130715969,0.9617626243991386,0.002790811428857377,34,2.990562677383423,0.027170185530214656,0.16241154670715333,0.06012002516380841,"{'n_factors': 60, 'n_epochs': 20, 'lr_all': 0.01, 'reg_all': 0.02}",60,20,0.01,0.02
27,0.9269195587303577,0.9255923927860511,0.9301428249484506,0.9270103805640981,0.9259293756405222,0.9271189065338958,0.001608777671365961,16,2.988760232925415,0.05243130397636307,0.13929123878479005,0.04684348676069755,"{'n_factors': 60, 'n_epochs': 20, 'lr_all': 0.01, 'reg_all': 0.1}",60,20,0.01,0.1
28,0.9553656115807971,0.9586773359296145,0.9683605100518987,0.9636696060894738,0.9658791191818668,0.9623904365667301,0.004745192112016607,36,5.9414506435394285,0.05204990794774238,0.16258158683776855,0.05912717990765087,"{'n_factors': 60, 'n_epochs': 40, 'lr_all': 0.005, 'reg_all': 0.02}",60,40,0.005,0.02
29,0.9246736726341033,0.9255755607788345,0.9286473348076051,0.9267957280420781,0.9250658771586122,0.9261516346842467,0.001437948380851449,15,6.129533863067627,0.05605153391171975,0.16841917037963866,0.051023316388971146,"{'n_factors': 60, 'n_epochs': 40, 'lr_all': 0.005, 'reg_all': 0.1}",60,40,0.005,0.1
30,1.0072414612895517,0.9970810376682355,1.0077222632029883,1.0048771252547846,1.0033498436337824,1.0040543462098686,0.0038317525716788517,44,5.89005298614502,0.10540626651604157,0.15948233604431153,0.05722671016374522,"{'n_factors': 60, 'n_epochs': 40, 'lr_all': 0.01, 'reg_all': 0.02}",60,40,0.01,0.02
